projectIdentifier,programArea,programFy,region,state,stateNumberCode,county,countyCode,disasterNumber,projectCounties,projectType,status,recipient,recipientTribalIndicator,subrecipient,subrecipientTribalIndicator,dataSource,dateApproved,dateClosed,dateInitiallyApproved,projectAmount,initialObligationDate,initialObligationAmount,federalShareObligated,subrecipientAdminCostAmt,srmcObligatedAmt,recipientAdminCostAmt,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,id
DR-4344-0058-R,HMGP,2018,9,California,6,Santa Barbara,83,4344.0,SANTA BARBARA,200.6: Acquisition of Private Real Property (Structures and Land) - Landslide,Closed,Statewide,False,Santa Barbara (County),False,HMGP,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z,2020-10-08T00:00:00.000Z,15577711.64,2020-10-27T00:00:00.000Z,13504043.25,11683283.73,0.0,12506.0,0.0,0.75,1.46,29035680.0,1,1,52c244f5-00d8-407e-aa94-a1b28e7b1647
DR-4240-0053,HMGP,2015,9,California,6,Marin,41,4240.0,MARIN,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,False,San Anselmo,False,HMGP,,2021-07-28T00:00:00.000Z,,4308400.0,,,,,,,0.7,1.91,8236501.0,0,1,0776f660-485e-4413-a458-83d6187b3529
FMA-PJ-09-CA-2013-004,FMA,2013,9,California,6,Marin,41,,MARIN,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Not Approved / Denied,Office of Emergency Services (Cal OES),False,Town of San Anselmo,False,eGrants,,,,2294220.0,,,,,,,0.75,1.04,2374500.0,1,1,e279d2e8-1d95-4602-a095-b9a95fda86d6
FMA-PJ-09-CA-2014-003,FMA,2014,9,California,6,Marin,41,,MARIN,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Not Approved / Denied,Office of Emergency Services (Cal OES),False,Town of San Anselmo,False,eGrants,,,,3308000.0,,,,,,,0.75,1.87,6169800.0,1,1,ef0cd4ef-dd0b-4ce3-a47e-e74ac4513119
DR-1505-0008-R,HMGP,2004,9,California,6,San Luis Obispo,79,1505.0,SAN LUIS OBISPO,200.3: Acquisition of Public Real Property (Structures and Land) - Riverine,Closed,Statewide,False,LUCIA MAR UNIFIED SCHOOL DIST,False,HMGP,,2013-04-23T00:00:00.000Z,,0.0,,,,,,,0.75,2.36,3949517.0,0,0,b0b49c03-f81e-4c14-a656-6e60551311e8
DR-1203-106-R,HMGP,1998,9,California,6,Santa Barbara,83,1203.0,SANTA BARBARA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Santa Barbara - Public Works,,HMGP-Historical,1998-10-29T00:00:00.000Z,2003-04-14T00:00:00.000Z,,1060153.0,,,795115.0,,,,0.75,1.0,1462944.0,5,9,d5c78154-6516-42a6-962f-8082aded372d
DR-4193-0007,HMGP,2014,9,California,6,Marin,41,4193.0,MARIN,200.3: Acquisition of Public Real Property (Structures and Land) - Riverine,Closed,Statewide,False,San Anselmo,False,HMGP,,2016-11-30T00:00:00.000Z,,3308000.0,,,,,,,0.75,1.35,4448300.0,0,1,2312fbe4-a505-463d-b070-fb7b0ca60955
DR-1203-105-R,HMGP,1998,9,California,6,Ventura,111,1203.0,VENTURA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Withdrawn,,,Santa Paula,,HMGP-Historical,1998-10-29T00:00:00.000Z,1999-04-15T00:00:00.000Z,,0.0,,,0.0,,,,0.0,1.0,168000.0,0,0,d8048e52-f9d8-42e8-95b1-e3a3e432f977
DR-4344-0060-R,HMGP,2018,9,California,6,Santa Barbara,83,4344.0,SANTA BARBARA,200.2: Acquisition of Private Real Property (Structures and Land) - Coastal,Closed,Statewide,False,Carpinteria,False,HMGP,2020-07-13T00:00:00.000Z,2022-11-30T00:00:00.000Z,2020-07-13T00:00:00.000Z,302978.0,2020-07-17T00:00:00.000Z,227233.5,227233.5,0.0,0.0,0.0,0.75,1.0,303000.0,1,1,58389662-4f03-4605-84fe-1b41d7ea91cf
DR-4158-0008,HMGP,2014,9,California,6,Marin,41,4158.0,MARIN,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,False,San Anselmo,False,HMGP,,2016-11-30T00:00:00.000Z,,3308000.0,,,,,,,0.75,1.35,4448300.0,0,1,1937e969-0fd1-4f47-978d-33723bc43b2b
DR-1008-7436-R,HMGP,1994,9,California,6,Orange,59,1008.0,ORANGE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Not Approved / Denied,,,FULLERTON,,HMGP-Historical,,1998-04-07T00:00:00.000Z,,,,,,,,,,,,0,0,47976ea1-60c4-4d3b-ab68-302cc258a960
DR-1203-122-R,HMGP,1998,9,California,6,Santa Cruz,87,1203.0,SANTA CRUZ,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Santa Cruz County,,HMGP-Historical,1998-10-30T00:00:00.000Z,2003-05-27T00:00:00.000Z,,701400.0,,,526050.0,,,,0.75,1.0,701400.0,2,2,8a78bbf8-739a-4623-ad52-d164da175464
DR-1203-120-R,HMGP,1998,9,California,6,Santa Cruz,87,1203.0,SANTA CRUZ,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Santa Cruz County,,HMGP-Historical,1998-11-02T00:00:00.000Z,2003-05-27T00:00:00.000Z,,986648.0,,,739986.0,,,,0.75,1.0,678778.0,5,5,eba72f9f-c398-4964-82c9-c8b76120eda6
